AGE_GROUP,TOTALPOSITIVE,DATE,CASE_PERCENT,DEATHS,DEATHS_PERCENT,CA_PERCENT
18-49,369772,8/14/2020,60.3,789,7.2,43.5
50-64,116986,8/14/2020,19.1,2010,18.3,18.4
65,66403,8/14/2020,10.8,8189,74.5,15.6
0-17,60630,8/15/2020,9.8,1,0,22.5
18-49,374400,8/15/2020,60.2,801,7.2,43.5
50-64,118498,8/15/2020,19.1,2039,18.4,18.4
65,67168,8/15/2020,10.8,8259,74.4,15.6
0-17,61538,8/16/2020,9.8,1,0,22.5
18-49,378186,8/16/2020,60.2,800,7.2,43.5
50-64,119629,8/16/2020,19,2041,18.4,18.4
65,67816,8/16/2020,10.8,8268,74.4,15.6
0-17,62233,8/17/2020,9.8,1,0,22.5
18-49,380923,8/17/2020,60.2,805,7.2,43.5
50-64,120440,8/17/2020,19,2047,18.4,18.4
65,68211,8/17/2020,10.8,8288,74.4,15.6
